id,category,score,grade,answered,continuity,cta,priceCtx,personalization,tone,safety
1,TERAPIA,100.0,A+,1,1,1,n/a,1,1,1
2,TERAPIA,100.0,A+,1,1,1,n/a,1,1,1
3,TERAPIA,100.0,A+,1,1,1,n/a,1,1,1
4,TERAPIA,100.0,A+,1,1,1,n/a,1,1,1
5,TERAPIA,100.0,A+,1,1,1,n/a,1,1,1
6,TERAPIA,100.0,A+,1,1,1,n/a,1,1,1
7,TERAPIA,90.0,A,1,1,1,n/a,1,1,1
8,TERAPIA,100.0,A+,1,1,1,n/a,1,1,1
9,TERAPIA,90.0,A,1,1,1,n/a,1,1,1
10,TERAPIA,100.0,A+,1,1,1,n/a,1,1,1
11,AGENDAMENTO,100.0,A+,1,1,1,n/a,1,1,1
12,AGENDAMENTO,90.0,A,1,1,1,n/a,1,1,1
13,AGENDAMENTO,90.0,A,1,1,1,n/a,1,1,1
14,AGENDAMENTO,100.0,A+,1,1,1,n/a,1,1,1
15,AGENDAMENTO,90.0,A,1,1,1,n/a,1,1,1
16,AGENDAMENTO,90.0,A,1,1,1,n/a,1,1,1
17,AGENDAMENTO,90.0,A,1,1,1,n/a,1,1,1
18,AGENDAMENTO,100.0,A+,1,1,1,n/a,1,1,1
19,AGENDAMENTO,90.0,A,1,1,1,n/a,1,1,1
20,AGENDAMENTO,100.0,A+,1,1,1,n/a,1,1,1
21,OUTROS,100.0,A+,1,1,1,n/a,1,1,1
22,OUTROS,100.0,A+,1,1,1,n/a,1,1,1
23,OUTROS,100.0,A+,1,1,1,n/a,1,1,1
24,OUTROS,100.0,A+,1,1,1,n/a,1,1,1
25,OUTROS,90.0,A,1,1,1,n/a,1,1,1
26,OUTROS,100.0,A+,1,1,1,n/a,1,1,1
27,OUTROS,100.0,A+,1,1,1,n/a,1,1,1
28,OUTROS,90.0,A,1,1,1,n/a,1,1,1
29,OUTROS,100.0,A+,1,1,1,n/a,1,1,1
30,OUTROS,100.0,A+,1,1,1,n/a,1,1,1
31,PRECO,90.0,A,1,1,1,n/a,1,1,1
32,PRECO,90.0,A,1,1,1,n/a,1,1,1
33,PRECO,90.0,A,1,1,1,n/a,1,1,1
34,PRECO,90.0,A,1,1,1,n/a,1,1,1
35,PRECO,90.0,A,1,1,1,n/a,1,1,1
36,PRECO,90.0,A,1,1,1,n/a,1,1,1
37,PRECO,90.0,A,1,1,1,n/a,1,1,1
38,PRECO,100.0,A+,1,1,1,n/a,1,1,1
39,PRECO,90.0,A,1,1,1,n/a,1,1,1
40,PRECO,90.0,A,1,1,1,n/a,1,1,1
41,CONFIRMACAO,100.0,A+,1,1,1,n/a,1,1,1
42,CONFIRMACAO,90.0,A,1,1,1,n/a,1,1,1
43,CONFIRMACAO,90.0,A,1,1,1,n/a,1,1,1
44,CONFIRMACAO,100.0,A+,1,1,1,n/a,1,1,1
45,CONFIRMACAO,100.0,A+,1,1,1,n/a,1,1,1
46,CONFIRMACAO,100.0,A+,1,1,1,n/a,1,1,1
47,CONFIRMACAO,100.0,A+,1,1,1,n/a,1,1,1
48,CONFIRMACAO,100.0,A+,1,1,1,n/a,1,1,1
49,CONFIRMACAO,90.0,A,1,1,1,n/a,1,1,1
50,CONFIRMACAO,100.0,A+,1,1,1,n/a,1,1,1
51,COLETA,100.0,A+,1,1,1,n/a,1,1,1
52,COLETA,90.0,A,1,1,1,n/a,1,1,1
53,COLETA,100.0,A+,1,1,1,n/a,1,1,1
54,COLETA,90.0,A,1,1,1,n/a,1,1,1
55,COLETA,90.0,A,1,1,1,n/a,1,1,1
56,COLETA,90.0,A,1,1,1,n/a,1,1,1
57,COLETA,90.0,A,1,1,1,n/a,1,1,1
58,COLETA,100.0,A+,1,1,1,n/a,1,1,1
59,COLETA,90.0,A,1,1,1,n/a,1,1,1
60,COLETA,100.0,A+,1,1,1,n/a,1,1,1
61,CONVENIO,100.0,A+,1,1,1,n/a,1,1,1
62,CONVENIO,100.0,A+,1,1,1,n/a,1,1,1
63,CONVENIO,90.0,A,1,1,1,n/a,1,1,1
64,CONVENIO,100.0,A+,1,1,1,n/a,1,1,1
65,CONVENIO,100.0,A+,1,1,1,n/a,1,1,1
66,CONVENIO,90.0,A,1,1,1,n/a,1,1,1
67,CONVENIO,90.0,A,1,1,1,n/a,1,1,1
68,CONVENIO,100.0,A+,1,1,1,n/a,1,1,1
69,CONVENIO,90.0,A,1,1,1,n/a,1,1,1
70,CONVENIO,100.0,A+,1,1,1,n/a,1,1,1
71,FICHA_CADASTRO,100.0,A+,1,1,1,n/a,1,1,1
72,FICHA_CADASTRO,90.0,A,1,1,1,n/a,1,1,1
73,FICHA_CADASTRO,100.0,A+,1,1,1,n/a,1,1,1
74,FICHA_CADASTRO,100.0,A+,1,1,1,n/a,1,1,1
75,FICHA_CADASTRO,100.0,A+,1,1,1,n/a,1,1,1
76,FICHA_CADASTRO,100.0,A+,1,1,1,n/a,1,1,1
77,FICHA_CADASTRO,100.0,A+,1,1,1,n/a,1,1,1
78,FICHA_CADASTRO,100.0,A+,1,1,1,n/a,1,1,1
79,LOCALIZACAO,90.0,A,1,1,1,n/a,1,1,1
80,LOCALIZACAO,90.0,A,1,1,1,n/a,1,1,1
81,LOCALIZACAO,90.0,A,1,1,1,n/a,1,1,1
82,TEA_TDAH,100.0,A+,1,1,1,n/a,1,1,1
83,TEA_TDAH,100.0,A+,1,1,1,n/a,1,1,1
84,OBJECAO,100.0,A+,1,1,1,n/a,1,1,1
